Genus,kingdomGBIF,phylumGBIF,classGBIF,orderGBIF,familyGBIF
Aleochara,Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae
Anthobium,Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae
Autalia,Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae
Bisnius,Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae
Bolitobius,Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae
Calodromius,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae
Cerylon,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae
Dicheirotrichus,NA,NA,NA,NA,NA
Dromius,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae
Drusilla,Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae
Geostiba,Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae
Ischnosoma,Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae
Lathrobium,Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae
Leptusa,NA,NA,NA,NA,NA
Lesteva,Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae
Liogluta,Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae
Lordithon,Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae
Loricera,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae
Megarthrus,Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae
Mycetoporus,Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae
Myrmetes,Animalia,Arthropoda,Insecta,Coleoptera,Histeridae
Nicrophorus,Animalia,Arthropoda,Insecta,Coleoptera,Silphidae
Ocalea,NA,NA,NA,NA,NA
Olophrum,Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae
Omalium,Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae
Omosita,NA,NA,NA,NA,NA
Oxytelus,NA,NA,NA,NA,NA
Philonthus,NA,NA,NA,NA,NA
Phosphuga,Animalia,Arthropoda,Insecta,Coleoptera,Silphidae
Podabrus,Animalia,Arthropoda,Insecta,Coleoptera,Cantharidae
Quedius,Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae
Sphaeriestes,Animalia,Arthropoda,Insecta,Coleoptera,Salpingidae
Staphylinus,NA,NA,NA,NA,NA
Stenichnus,Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae
Stenus,NA,NA,NA,NA,NA
Tachinus,Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae
Trechus,NA,NA,NA,NA,NA
Xantholinus,NA,NA,NA,NA,NA
Zyras,Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae
Dipus,Animalia,Chordata,Mammalia,Rodentia,Dipodidae
shrew,Orthornavirae,Pisuviricota,Stelpaviricetes,Stellavirales,Astroviridae
Myodes,Animalia,Chordata,Mammalia,Rodentia,Cricetidae
Vaccinium,Plantae,Magnoliophyta,Magnoliopsida,Ericales,Ericaceae
Adoncholaimus,Animalia,Nematoda,Enoplea,Enoplida,Enoplidae
Anoplostoma,Animalia,Nematoda,Enoplea,Enoplida,Anoplostomatidae
Camacolaimus,Animalia,Nematoda,Adenophorea,Araeolaimida,Leptolaimidae
