Genus,kingdomGBIF,phylumGBIF,classGBIF,orderGBIF,familyGBIF
Hymenoptera-Parasitica,Animalia,Arthropoda,NA,Hymenoptera,NA
Lepidoptera-adults,Animalia,Arthropoda,NA,Lepidoptera,NA
Climacteris,Animalia,Chordata,Aves,Passeriformes,Climacteridae
Eremobates,Animalia,Arthropoda,Arachnida,Solifugae,Eremobatidae
Hogna,Animalia,Arthropoda,Arachnida,Araneae,Lycosidae
Cnemidophorus,Animalia,Chordata,Reptilia,Squamata,Teiidae
Sceloporus,Animalia,Chordata,Reptilia,Squamata,Phrynosomatidae
Coleonyx,Animalia,Chordata,Reptilia,Squamata,Eublepharidae
Arianta,NA,NA,NA,NA,Schnirkelschnecken
Arion,Animalia,Mollusca,Gastropoda,Pulmonata,Arionidae
Clausilia,NA,NA,NA,NA,NA
Cochlicopa,NA,NA,NA,NA,NA
Columella,Animalia,Mollusca,Gastropoda,Stylommatophora,Vertiginidae
Deroceras,Animalia,Mollusca,Gastropoda,Pulmonata,Agriolimacidae
Discus,Animalia,Mollusca,Gastropoda,Stylommatophora,Discidae
Euconulus,NA,NA,NA,NA,NA
Limax,Animalia,Mollusca,Gastropoda,Stylommatophora,Limacidae
Nesovitrea,Animalia,Mollusca,Gastropoda,Pulmonata,Oxychilidae
Punctum,Animalia,Mollusca,Gastropoda,NA,Punctidae
Vitrina,Animalia,Mollusca,Gastropoda,Stylommatophora,Vitrinidae
Zoogenetes,NA,NA,NA,NA,Valloniidae
Micotus,NA,NA,NA,NA,NA
Melanodryas,Animalia,Chordata,Aves,Passeriformes,Petroicidae
Petroica,Animalia,Chordata,NA,Passeriformes,Petroicidae
Lemmiscus,NA,NA,Mammalia,Rodentia,Cricetidae
Tamias,Animalia,Chordata,Mammalia,Rodentia,Sciuridae
Melozone,Animalia,Chordata,Aves,Passeriformes,Passerellidae
A.,NA,NA,NA,NA,NA
Agallia,Animalia,Arthropoda,Insecta,Hemiptera,Cicadellidae
Aphrodes,Animalia,Arthropoda,Insecta,Hemiptera,Cicadellidae
Arocephalus,Animalia,Arthropoda,Insecta,Hemiptera,Cicadellidae
Arthaldeus,Animalia,Arthropoda,Insecta,Hemiptera,Cicadellidae
Batracomorphus,Animalia,Arthropoda,Insecta,Hemiptera,NA
Cicadula,Animalia,Arthropoda,Insecta,Hemiptera,Cicadellidae
Conomelus,Animalia,Arthropoda,Insecta,Hemiptera,Delphacidae
Criomorphus,Animalia,Arthropoda,Insecta,Hemiptera,Delphacidae
Deltocephalus,Animalia,Arthropoda,Insecta,Hemiptera,Deltocephalidae
Dicranoneura,Animalia,Arthropoda,Insecta,Hymenoptera,Braconidae
Dikraneura,NA,NA,NA,NA,NA
E.,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae
Elymana,Animalia,Arthropoda,Insecta,Hemiptera,Cicadellidae
Erythroneura,NA,NA,NA,NA,NA
Eupelix,Animalia,Arthropoda,Insecta,Hemiptera,Cicadellidae
Eupteryx,Animalia,Arthropoda,Insecta,Hemiptera,Cicadellidae
Euscelis,Animalia,Arthropoda,Insecta,Hemiptera,Cicadellidae
Javesella,Animalia,Arthropoda,Insecta,Hemiptera,Delphacidae
K.,Animalia,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae
Kelisia,NA,NA,NA,NA,NA
Laodelphax,Animalia,Arthropoda,Insecta,Hemiptera,Delphacidae
M.,Fungi,Ascomycota,Sordariomycetes,Sordariales,NA
Macrosteles,Animalia,Arthropoda,Insecta,Hemiptera,Cicadellidae
Megophthalmus,Animalia,Arthropoda,Insecta,Hemiptera,Cicadellidae
Mocydia,Animalia,Arthropoda,Insecta,Hemiptera,Cicadellidae
Mocydiopsis,Animalia,Arthropoda,Insecta,Hemiptera,Cicadellidae
Muellerianella,Animalia,Arthropoda,Insecta,Hemiptera,Delphacidae
Muirodelphax,Animalia,Arthropoda,Insecta,Hemiptera,Delphacidae
N.,Animalia,Arthropoda,Insecta,Coleoptera,Noteridae
